Topic;ID;Question;Reference;Enviroment;Resolution
;;;;;
Appending information during Ask A Question submit;Answer ID 6090;What options are there to append information during the Ask a Question process from the end-user pages?;['Answer ID 4189', 'Answer ID 5168'];   Ask a Question (AAQ), SmartAssistant (SA), Appending SA via Business Rules Oracle B2C Service;"  There are two options for appending content / suggesting solutions using business rules. 1. Append SmartAssistant suggestions using system-defined format  Rule action is: Append SmartAssistant Response to Response field  2. Create a standard response and append the standard response (customized text - may or may not include the $solutions variable)  Rule actions are: Append Response Template to Response Field Append Response Template to Notes Field (only applies if source is Ask a Question) Append Response to uncommitted response buffer Â - content is editable and not saved in an auto-reply thread type.  Incident Sources: The incident source determines whether the content is presented during the AAQ submittal or if the content is appended to the incident thread when viewed from the console.  SmartAssistant on Ask a Question: The incident source ""SmartAssistant on Ask a Question"" ONLY deals with displaying content to the user during the submittal process. With this source in the rule, nothing gets appended to the actual incident when viewed from the admin console. With a standard response, the content in the HTML field is always used in the pop-up. Ask a Question:The incident source ""Ask a Question"" ONLY deals with content appended to the actual thread of the incident. This source has NO impact on displaying content to the user during the submittal process. With a standard response, the content that is appended depends on whether visual email is used or not. If visual email is used, the content of the HTML field is appended. If visual email is not used, the content of the TEXT field is appended.  As a result, if you only want to display something during the submittal process, the incident source for the rule should only have SmartAssistant on Ask a Question selected and should not have Ask a Question enabled as a source. SCENARIO 1: APPENDING SMARTASSISTANT SUGGESTIONS (without custom messaging)  Â  Case 1: Displays SmartAssistant (SA) solutions to popup dialog but does not append to response field of incident. Use single incident source (SA on AAQ).  Â  IF Incident source = SmartAssistant on Ask a Question (only one option checked) THEN Append SmartAssistant to Response Field  Â   Â  Case 2: Displays SA solutions as links to popup dialog and append SA suggestions as auto-reply thread. Auto-reply is sent with receipt message since it is committed to the thread. Source is both SA on AAQ and AAQ.  Â  IF Incident source = SmartAssistant on Ask a Question AND Ask a Question (both options checked) THEN Append SmartAssistant to Response Field  Â   Â  Case 3: Displays SA solution links to popup dialog and appends SA suggestions to response field of incident in an auto-reply thread. Source is both SA on AAQ and AAQ. Includes uncommitted response buffer action. Content is appended to Response field but since it is not committed; it is not sent with receipt message AND the content can be edited or deleted when the incident is opened from the admin console.  Â  IF Incident source = SmartAssistant on Ask a Question AND Ask a Question (both options checked) THEN Append SmartAssistant to Response Field Append response to uncommitted response buffer  Â  SCENARIO 2: APPENDING CUSTOM MESSAGE USING STANDARD RESPONSE (may or may not use $solutions variable)  Â  Case 1: Displays standard response to popup dialog but does not append to response field of incident. Use single incident source (SA on AAQ).  Â  IF Incident source = SmartAssistant on Ask a Question (only one option checked) THEN Append Response Template to Response Field (rule may or may not have Append response to uncommitted response buffer - has no effect)  Â   Â  Case 2: Displays response to popup dialog AND appends text content to an auto-response thread in the incident. Auto-response cannot be edited or deleted. Auto-response gets sent as part of receipt message.  Â  IF Incident source = SmartAssistant on Ask a Question AND Ask a Question (both options checked) THEN Append Response Template to Response Field  Â   Â   Â  Case 3: Displays response to popup dialog AND appends text content to response field of incident. Response content can be edited or deleted. Uncommitted content is not sent in receipt message.  Â  IF Incident source = SmartAssistant on Ask a Question AND Ask a Question (both options checked) THEN Append Response Template to Response Field Append response to uncommitted response buffer"
;;;;;
Test Site Performance;Answer ID 6092;Why does our test site perform slower than our production site?;['Answer ID 4189', 'Answer ID 5168'];  Non-Production sites (test sites and upgrade UAT sites); Test sites are hosted on cloned servers, separated from production sites. Â  Â This prevents issues in test environments impacting production sites. Â  Â Because test sites are on cloned servers, the same performance levels are not guaranteed. Â  Â While our Technical Support and Cloud Operations teams will still work to determine root cause and take steps to resolve any performance issues unique to a cloned or test, it is possible for a production site to run at a higher performance level than a test site. If you have questions or concerns regarding test site performance please create an SR. Â  Â If Technical Support verifies that performance differences are related to degradation in clone server performance our Cloud Operations team will take action to remediate the problem. Â  Â Please note that Cloud Operations prioritizes production server maintenance over clone server maintenance.
;;;;;
Searching for a contact with an underscore in the email address causes query processes too much data error;Answer ID 6094;When trying to search for a contact containing an email with an underscore character, why are we receiving a query processes too much data error?;['Answer ID 4278', 'Answer ID 2509'];   Oracle B2C Service, Analytics, All versions;  In SQL, the underscore character is treated as a wildcard character, similar to the % symbol. If the report you are using contains a filter based on contacts.email and using the LIKE operator, searching for a contact Â that contains an underscore in the email will treat the underscore as a wild card. For example, searching for Â a_test@emailaddress.com, will search for all occurrences of: aatest@emailaddress.com abtest@emailaddress.com actest@emailaddress.com adtest@emailaddress.com and so on. Because of the wildcard character, more rows will need to be processed when performing this search and you may receive the query processes too much data error. Please see the following answer for additional information about this error, Answer 4278: Report is processing too much data. To prevent this from happening, you can use the backslash escape character in your search so that the underscore character will be treated literally and not as a wildcard. For example: a\_test@emailaddress.com Or you can edit the report's contacts.email filter to use the EQUALS operator instead of the LIKE operator. Please see the following answer on how to edit report filters: Answer 2509: Creating a basic custom report
;;;;;
Partners - How to request and maintain Oracle B2C Service demo sites;Answer ID 6096;What is the process to request and maintain Oracle B2C Service demo sites?;['Answer ID 4278', 'Answer ID 2509'];   Partners Oracle B2C Service demo sites using Oracle Demo Central and/or Oracle Cloud Marketplace;"  Introduction All demo sites for Oracle B2C Service (OSvC) must now be requested by the partners directly for all demo or development related sites.  Demo site access and requests For all Oracle B2C Service requests, the requests must be made through Oracle Demo Central (http://demo.oracle.com). Each partner must have an oracle.com account to access the site to submit tickets.  To gain access to Oracle Cloud Services Demonstration environments:   Be a Gold, Platinum or Diamond level partner in good standing within the Oracle PartnerNetwork. Have at least one Sales Specialist and one PreSales Specialist for the desired product. For Demo purposes:   Ã¢â‚¬â€œ Â  Agree to the terms and conditions of the Cloud Services Demonstration Access Addendum, executed online via the Oracle Partner Store.   For Development purposes:   Ã¢â‚¬â€œ Â  Agree to the terms and conditions of the Cloud Interoperability Addendum, executed online via the Oracle Partner Store.   Â Ã¢â‚¬â€œ Â  Note: If the information in the partner's application does not comply with these terms, the application will be declined.   Full details of the program can be found on the Â OPN Website (Click on following links: Partner with Oracle &gt; Market and Sell &gt; Oracle Demonstration Services) Once approved, there demo central should receive an automated update and the accounts will be granted access.   Cloud Interoperability Addendum (Step by Step)   Login to the Oracle Partner Store here.  Â  Â  Â  Â  Â Ã¢â‚¬â€œ Â  Go to 'Memberships' tab &gt; Others &gt; Apply for New OR to Renew.  Â  Â  Â  Â  Â Ã¢â‚¬â€œ Â  Go to 'Memberships' tab &gt; Others &gt; Select the Oracle Cloud Interoperability record &gt; go to 'Actions' button &gt; Renew. Â   Â  Â  Â  Â  Â Ã¢â‚¬â€œ Â  Fill in the online form to execute the Oracle Cloud Interoperability Addendum (NOT the Oracle Social Interoperability Addendum).   Submitting requests Once access is granted use the following steps to create tickets. Click the next to the appropriate heading below to expand that section for viewing.  Â Step 1 - Start B2C Service Request Â   In the ""My filed"" Tickets section of the page you will see a ""New"" button, click new to start your B2C Service request.    Â   Â Step 2 - Select Type of Request Â   Select your type of request. The following options are available for partner use:     Â· Connectivity Issue: o Issues with site features such as chat or utilities restart requests or enablement of features.  Â· Extend Environment: o For requesting site extensions.  Â· Partner Access: o Request a new Environment.  Â· Refresh Environment: o Request a replacement for an existing environment.  Â· Retire Environment: o Request an environment be destroyed.    Â    Â Step 3 - Ticket Creation   Severity   P3-Standard: This is the default option and should be used for the majority of tickets.  P2-Severe: This should only be used if the environment is inaccessible.  P1-Critical: This should only be used if the site is down.   Ticket Type: This will be pre populated from the selection on the previous page Related Demo: Default Value is [Not Related to a Demo] Environment: Select [Other/No Environment] Product: Select Cloud Apps -&gt; Service -&gt; and select the specific product Summary: Summary of the request Detail Description: Details of the request   For New Site requests provide the following:    Partner Name  OPN Company ID  Email address of at least two people for site notifications  Request details     For existing Site requests provide the following:    Partner Name  OPN Company ID  Site Name  Request Details      Connection: Select [Other] Attachment: Attach an attachment if required Attachment Display Name: Provide a name for the attachment Submit: Click Submit to complete the request   * Depending on the type of request some of the above options may not be available for selection.   Once submitted the screen will turn to the Support section of Demo Central, and the ticket will be displayed in the My Tickets section of the page. Â  Â An email confirmation of the submission will be sent to the email address on file for the filer of the ticket.  NOTE: If there is more than a single issue\request please submit different tickets as separate tracking is required based on routing.   There is a section for close tickets where tickets can be reviewed that have been closed and reopened if the specific issue is still occurring.  NOTE: Do not reopen existing tickets for a reoccurrence of an issue\request. The ticket will be closed, and the filer will be requested to submit a new ticket.  Clicking on the ticket number will open the ticket itself for updating information as required to complete the ticket as its being worked to completion.  Â    Â Step 4 - Open / Edit Ticket Interaction  When a ticket screen is opened the filer will see various details and options for the ticket such as Ticket Tasks, Ticket Links, etc. Within Ticket Links only the [Add Attachment] option should be used by the filer, all other options SHOULD NOT be used by the filer. The filer's options under Ticket Tasks should be utilized when updating a ticket.     Ticket tasks available:        Ticket Tasks:      Image of Task:            Â Ã¢â‚¬Â¢ Â  Change Severity Options:                Â Ã¢â‚¬Â¢ Â  Update Ticket Options:                Â Ã¢â‚¬Â¢ Â  Close Ticket Options:             Â   Oracle B2C Service Demo Services Frequently Asked Questions Â  Refer to Â Oracle B2C Service Demonstration and Development Sites Frequently Asked Questions (PDF) for Â more information Â regarding partner requested demo sites."
;;;;;
Transactional surveys or mailings are not sending;Answer ID 6097;We have a rule set up to send a survey an hour after the incident closes. I verified that the rule was triggered when the incident was closed. Why hasn't the survey sent?;['Answer ID 1854'];   Outreach and Feedback;"  When a survey is scheduled to be delivered after a certain Â time period, Â it is held in Â the mail_queue. If the survey does not send after that time period, it Â may still be in the queue. You can check this possibility through the standard report, Mailing Delivery Queue (ac_id=2009). If you see any mailings in this report which have a ""scheduled"" date in the past, please Â submit a service request to Ask Technical Support Â so we can investigate why the mailing is stuck in the mail queue. If you wish to monitor the Mailing Delivery Queue report, you can add a schedule Â so you will periodically receive the report via email. You can also add an alert Â so you are notified if certain conditions apply. See Answer ID 1854: Using Alerts when scheduling a report subscription To avoid this problem, you can edit the rule to send the survey immediately and it will not be queued."
;;;;;
Profile Analytics 'Print/Export/Forward Reports' option;Answer ID 6103;We have disabled this option at the profile level, but the Print option still appears when viewing the Contact History tab. Why?;['Answer ID 5168'];   Profiles / Analytics Oracle B2C Service;"  This option Â allows a user to print, export, and forward reports. Â  Â This is different than having the ability to print, export, and forward records (i.e. incidents and contacts). Â  Â For example, let's say an agent opens an incident and goes to the Â Contacts tab and views the Incident History sub-tab. Â  Â The options available (i.e. Open, Add New, Print, Delete, Forward, etc) that appear are in reference to the agent's ability to perform these actions on records within the report being displayed (i.e. incident records). However, from this same sub-tab, if you select the ""Options"" menu from the far right, these are the permissions associated with the overall report. Â  Â Therefore, if the profile does not allow an agent to print, Â forward or export, those options will not appear under the ""report Options"" menu. If you do wish to remove the record command options, one option you can do is Â to edit Â the custom report used in a workspace. (Note: Â Standard reports cannot be modified and will need to be replaced with custom reports if you wish to implement this option.) Â  Â With the report open for editing, select Home &gt; Records. Â  Â This allows you to remove specific commands for specific record types within that report. For additional information, refer to the 'Select Analytics permissions' section in online documentation for the version your site is currently running. Â  To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
Disabling Open/Edit Analytics permissions at the profile level;Answer ID 6104;After disabling Open/Edit Analytics permissions, why do standard reports used within workspaces still generate?;['Answer ID 5168'];  Profiles,Ã‚Â Analytics,Ã‚Â Workspaces Oracle B2C Service Issue  After disabling Open/Edit Analytics permissions at the profile level (or ALL analytics permissions), standard reports used within workspaces (i.e. contact history) still generate successfully.; This is 'as designed' functionality. Â  Â By giving the profile access to the workspace/dashboard/report link/etc. it's implicitly granting them permission to all the associated reports in that context.
;;;;;
In chat, the full name of the contact is not rendered when using contact.name variable;Answer ID 6108;In Chat, why are agents are seeing cases where the first name value is not rendered?;['Answer ID 5168']; Ã‚Â Ã‚Â  Chat / Agent Console Issue  We have standard text set up using the system defined contacts.name.first variable.Ã‚Â  In Chat, agents are seeing cases where the first name value is not rendered.;  Â  Within an incoming chat request and the resulting chat transcript, some contact related details are displayed based on what the customer entered on the chat request page and some details display from the associated contact record. For example, details such as the name and email displayed in the top session summary area are pulled from the incoming chat request. Â  Â The name displayed within the resulting chat transcript is also passed in with the incoming chat request. However, the Ã¢â‚¬Å“ContactÃ¢â‚¬Â search field in the top summary panel is pulled from the associated contact record. Â  Â If the contact record does not have a first or last name value, the chat agent will see [Name not specified]. Â  Â  Â  Â  The system defined contact name variables also pull from the associated contact record. Â  Â Here again, if the associated contact record has no first or last name values, the system defined variables of contacts.name.first and contacts.name.last will not render. Â  Â  To help agents avoid this on an incoming chat, if they see [Name not specified] in the Ã¢â‚¬Å“ContactÃ¢â‚¬Â search field, they can edit the contact record and save name values while in a chat session. Â  Â Then, when they append the standard text message, the variables will render with the correct values they entered from the contact record.
;;;;;
Oracle RightNow Cloud Service and Change Management;Answer ID 6111;What areas of the Oracle RightNow Cloud Service solution need to be considered when looking through the lens of change management?;['Answer ID 5168'];  Change Management Strategy Oracle B2C Service; The attached document provides recommendations for each area to address envisioning, developing, testing, and implementing change to your Oracle RightNow Cloud Service site(s).
;;;;;
Chat Alert: The newly assigned chat session has been reassigned or terminated by the enduser.;Answer ID 6112;"Why do agents receive an alert ""The newly assigned chat session has been reassigned or terminated by the enduser.""?";['Answer ID 5168']; Ã‚Â   Chat Agent Console;"  This alert message is working as designed and displays when the following occurs: 1. An end-user requests a chat 2. The chat is offered to an agent 3. Before the agent can accept, the end-user cancels the request If you wish to modify the messaging of this alert, you can do so by editing the message base.  Â   The relevant .NET Agent Desktop message base is NEWLY_ASSIGN_CHAT_SESS_RE_TERM_MSG, with default value: ""The newly assigned chat session has been reassigned or terminated by the end-user.""  Â   Â  The relevant Browser User Interface (BUI) Agent Web message base is ENGAGEMENT_IS_NO_LONGER_AVAILABLE_MSG with default value: ""Engagement is no longer available. This may be due to the visitor choosing to leave the queue.""  When this happens, there are a couple of standard reports you can use to review the events of incoming requests.  Â  Â  1. If you already know the chat ID, you can go straight to the Chat Events report (ID 3054). Â  Â   Â  Â  Â  Â  Â The path to this report is: Â  Â \Public Reports\Service\Chat Reports\Audit Reports\Audit Details 2. If don't know the chat ID already, take note of the specific date/time an agent receives the alert. Â  Â You can then generate the Chat Audit Report (ID 3047) to identify the incoming chat request ID a that time and review the events of that request. The Chat Audit Log is most useful and provides a 360 view of all incoming requests. The path to this report is as follows: \Public Reports\Service\Chat Reports\Audit Reports"
;;;;;
Using Custom Objects in business rules;Answer ID 6120;Are Custom Objects supported in business rules?;['Answer ID 5168'];   Custom Business Objects Oracle B2C Service;  In the August 2017 release, changes were made to allow for the use of the Business Rules 2.0 engine within the Browser User Interface (BUI). Please note Business Rules 2.0 is not available within the .NET console. For more information on business rules for BUI, please see our documentation located here. Customers not using BUI can utilize the Process Designer / Custom Process Models (CPM) feature that allows associating PHP scripts with object events. Â  Â Business logic can be migrated to PHP code, so effectively business rules can be performed on Custom Objects. Customers not planning on using BUI for agents may need to make use of BUI for Administration purposes for things like Business Rules 2.0 and Custom Process Logging. There are a number of new features in the product that will be accessible only through the web interface that BUI provides. Please refer to the documentation link above.  Additional information can be found in the Â Add and edit business rules for custom objects Â section of online documentation. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products.
;;;;;
Task merge fields on message templates are populating with 'No Value';Answer ID 6136;Why are the merge fields I am using in my Task Message Templates not populating with the correct values?;['Answer ID 5168'];  Merge Fields in Message Templates November 2012 and newer; If you find that your Organization, Contact, Opportunity and Incident Merge fields are not populating Â with the correct values when your administration email message templates are sent, you may wish to review the Tasks from which these messages are being sent to ensure that each of the expected fields is populated with a value on the task record. If a Task's Incident field is populated with a reference number, it does not necessarily follow that the Organization and Contact fields will also be populated with the administration email (such as Task Information or Task Forward) is sent. The Contact and the Organization will not be taken from the associated Incident. A single Task could be associated to numerous different records, including Organizations, Contacts, Opportunities etc. A Task's Organization could be entirely different from the Organization of the related Contact or Incident's Contact, for example. It could be set to a' Completed' status Â as it related to Â its Incident, but still be in progress as it related to Â its Contact. For this reason a Task is associated with each object separately. Rather than drawing the Organization and Contact data from the Incident, it looks for the Organization and Contact fields on the Task itself to be populated. If you find that your merge fields are populating with 'No Value' when administration emails are sent, ensure that the fields in question are on your Task workspace and are being populated with values. Those merge fields will not be populated with values from other related records.  
;;;;;
Migration from Mail Scripts to Message Templates;Answer ID 6143;How do we migrate from Mail Scripts to Message Templates?;['Answer ID 5965', 'Answer ID 6409', 'Answer ID 5380', 'Answer ID 5489', 'Answer ID 2419'];   Mail Scripts, Message Templates;"  Message Templates provide an easy, flexible way to customize your outgoing Service emails and notifications, as well as personalize the Service messages for your Oracle B2C Service instance. Message Templates also offer patent-pending tracking capabilities, so that you can report on the actions for incident-related responses, such as views and clicks back to Customer Portal. This feature replaces the deprecated Mail Scripts capability (Oracle B2C Service Mail Files deprecation begins August 19, 2013), so migration is required before removal of Mail Scripts occurs at a future date. If you started using the product on/after November 2012 release, Message Templates is enabled by default. Upgrading from releases prior to this version will require migration and a sample list of migration steps is included below. Migration can occur at any point, and should be decoupled from any update. This migration is also one of the keys to entry for the Auto Update Program. If you have not customized your Mail Scripts, this migration should be simple and you are encouraged to try the default templates before making changes that were in play from the Â legacy configuration. Additionally, you may configure your Message Templates prior to enabling this feature, and convert one interface at a time if preferred. In this way, the messages can be set and reviewed before you send them to customers. There is a default Message Template already created for every message that was available in Mail Scripts, and new Message Templates have been added to provide more flexibility in your site configuration. This also makes it easier to understand the full list of the messages or notifications that are in use. Unlike Mail Scripts, the Message Templates do not rely on duplicated Message Bases or shared PHP files. Now you configure each message uniquely, adding any text or merge fields to one message at a time.  Suggested Migration Steps  The Update Guide includes steps for migrating to Message Templates (see Notifications and email messages under Common update enhancements). Reminder: You can first edit, preview/proof, and deploy these new messages prior to enabling them for customers! In addition to this resource, here are a few additional suggestions for your migration.  Add Message Templates permission to your Profile. This permission is within the Administration tab of the Profile Permissions. Add Message Templates to your navigation set (see Customizing notifications and email messages sent by Oracle B2C Service). Open the Message Templates editor to view the list of default messages available. Select an interface from the left navigation, and use the ribbon buttons for Admin Notifications, Admin Emails, Contact Emails, and Print Templates* to see all messages. Start by reviewing the Contact Emails, followed by Print Templates, and then forward messages within Admin Emails - those are typically the most frequently used in the product. View Send and HTML settings for your previous Mail Scripts messages by accessing Site Configuration &gt; Interfaces, and using the ribbon buttons of Admin Notifications, Admin Emails, Contact Emails.   Note which values are unchecked under the Send column. Those messages are not being sent when Mail Scripts are in use. Consider carefully if the same should apply as you move to Message Templates, and if so, uncheck the same Send checkbox(es) in the Message Templates editor, then Save.  Complete the same for the HTML column. If HTML is not selected, then only the Text version of the message is sent. Because of the style changes already applied to the default templates, and the ability to easily re-style the messages to meet your needs, you might consider keeping HTML selected for all Message Templates. If an HTML message cannot be viewed by a receiving email client, the Text version will be shown.   Update your Global Template, if desired, with your company logo or any relevant links or other company information. The Global Template is interface-specific, and is essentially a wrapper for your outgoing messages, giving them a consistent style and content. Don't forget to Save and use Deploy Template and Save using the ribbon buttons. If preferred, you can turn off the Global Template on a per-message basis. To view the source of your Mail Scripts message wrapper, please access Site Configuration &gt; File Manager &gt; mail files &gt; cci, and locate the header and footer files - the source differs for HTML and Text, so be sure to view both, as well as the differences between interfaces. Check the following config settings and make sure you update the applicable incident messages in Message Templates if needed:   MAIL_DETAILS_ENABLED: This config controls whether or not general incident information is available in your outgoing service message when Mail Scripts were in use. The details included in the default Message Templates are minimal and simple. You can further configure the email experience for your business using Merge Fields or Conditional or Case sections with Merge Fields included. The goal is to only show the customers what they absolutely need to see in the email response. Keep it simple, but add relevant fields as needed.  MAIL_SUPPRESS_NULL_CUST_FLDS: This config suppresses null value custom fields from the Mail Scripts. Similar to above, define what is critical for your customers to receive in their email, and add Merge Fields (standard or custom) in order to give them the correct information. If no Default value is listed for a Merge Field, and the value of the field is null (blank), then this field is not shown in the message. Alternately, pairing with Conditional and Case sections provides flexibility to display different fields based on context for each message. For example: Use a conditional section to show the 3 custom fields relating to one special product line that you manage. In this way, these fields are only viewable when they are important.  MAIL_INC_THREAD_LEN: This config controls the number of threads to be included in a message sent by Mail Scripts. To change the same value in a Message Template, modify the Incident Thread control properties in the applicable Message Templates to set this value smaller, if desired. By default, this control is used in the Incident messages (Incident Solved/Unresolved/Waiting/Closed, and Rule Email), and can be added to other messages. Change the Limit Threads value in the properties to meet your needs. See Â Answer ID 5489: Message Templates and MAIL_INC_THREAD_LEN for details. As an added bonus to Message Templates, you can also easily determine WHICH thread types should be included in the outgoing message, and send only those that you specify. Simply check the boxes next to each thread type to include them in your message.  MAIL_DEFINED_SUBJECT_ENABLED: This config supports always using one static subject for nearly every incident message sent via Mail Scripts. In Message Templates, starting in November 2013, you can configure your own subject lines for each message in a distinct manner. This provides a much more powerful way to configure your subjects using appropriate merge fields. Further enhancements added in the November 2014 release provide the ability to configure conditional subjects (up to 10 plus a default per message), so that you can change the subjects easily for different cases. For example: A VIP customer gets a personalized subject and response period, while a customer who emails you about an unsupported product gets a subject that says as much, while every other situation gets the standard subject (merge in Incident refno and Subject).   There Â are a number of Message Bases that made up the text in the Mail Scripts messages. Message Templates start with fresh content, so review the messages with fresh eyes to determine if changes are really necessary, according to your current business needs. See the attached file to view the list of Message Bases and their related mail script. You can also do a ""KEY"" field search on *HTML_MSG and *TXT_MSG to get started. The HTML strings applied when an HTML message was sent, and TXT strings applied to the text version.  As a note, if you have an update in-flight, talk to your Technical Migration Manager about whether or not you have customizations in any of the mail scripts files. These files live in the File Manager &gt; mail files area as read-only in any version on or after November 2012. If no changes exist, proceeding is EASY! :) You need not complete the migration at the same time as your update, but it provides the view you might need to understand if customizations are in play for your Mail Scripts.  Additional Checklist Items  Once you have reviewed your previous setup and applied the suggested changes, add other configuration to the messages to meet your business needs. Be sure to check the following:  Save your changes regularly. Changes are not fully committed until the Deploy option is used. Be sure to make frequent use of Preview and Proof capabilities. These allow you to view the messages with live record data, prior to deploying changes. Create the right messages for both HTML and Text versions of each email. Configure messages for all interfaces.   NOTE: You can enable Message Templates one interface at a time (see step 6), providing a great way to try the messages to a subset of your customers, in case you have concerns.   When the messages are prepared, be sure to deploy, then save Â your changes. These are not yet live to customers! Â  There is no harm in deploying during this phase as these aren't in effect until the configuration setting is changed. Â  The deploy simply promotes your edits into the Live version, which will be used once the config is enabled. Once you have deployed your changes, enable the configuration setting MESSAGE_TEMPLATES_ENABLED. This tells the system to send the Message Templates vs. the Mail Scripts.  IMPORTANT: Please note, once this functionality is enabled, you are unable to disable the functionality again. Once you enable message templates, the administrator notifications, administrator emails, and contact emails under Site Configuration &gt; Interfaces are disabled, but are still available as read-only, as stated in the online documentation.   Enter a value for EGW_DEFAULT_URL in case any links are broken in the future. See Answer 2419: With a Outreach campaign, users go to a blank page after clicking Submit Â for details.  *Separate Print Templates were added in the November 2013 release. Prior to this release the related Forward message template was also used for Print."
;;;;;
Chat agent transcript look and feel is not editable via agent.css;Answer ID 6150;Is the chat agent transcript look and feel able to be modified by the agent.css file?;['Answer ID 10378', 'Answer ID 1731'];   Chat, All supported versions of the product;"  The look and feel of the chat agent transcript is not editable through the agent.css. Â  This Â is a read-only type of file. Â  Here is how to view this file: 1. Â  Navigate to: Â  Configuration -&gt; Site Configuration -&gt; File Manager 2. Â  In the ""Switch to"" drop-down, select the ""Chat Agent transcript templates"" 3. Â  Click on the ""agent.css"" file to view the file only NOTE: Â  If you attempt to modify and save this file, you will receive the following:  Error: Unable to open the following file for writing: agent.css  Agents can increase or decrease the font size of the transcript in the chat workspace by using the Ctrl +/- keyboard keys. Beyond this, there is no way to further customize the chat agent transcript. If you have further thoughts regarding this functionality, please submit your input via the Oracle Cloud Customer Connect Â Idea Lab. Alternatively, you may also engage with Â Oracle Consulting for options to edit the agent.css file."
;;;;;
Understand what data can be mapped between Intelligent Advisor and Oracle B2C Service / CX data model;Answer ID 6163;What data can be mapped between a policy model in Intelligent Advisor and the Oracle B2C Service / CX data model?;['Answer ID 10378', 'Answer ID 1731'];    Intelligent Advisor, latest release Oracle B2C Service (OSvC, CX);  Intelligent Advisor interviews can load and save Oracle B2C Service data. To do this, Intelligent Advisor entities and attributes are mapped to corresponding Oracle B2C Service objects and fields. The following limitations apply to data mapping for Oracle B2C Service objects and fields. These restrictions are all enforced by Intelligent Advisor at project build time:  Interviews designed for anonymous users can only create data, not load or update data. This is because data can only be loaded for an authenticated user (Contact/Agent). At the global level, the list of available objects is limited: Â    for Contact interviews for input mapping, to objects which have a relationship to Contact. For more information, see Load data for Customer Portal users.  for Agent interviews, to objects which have CX workspaces where it is possible to embed the Intelligent Advisor control.For more information, see Load data for contact center agents.   A number of Service Cloud lists are supported by Intelligent Advisor.   Supported lists and menus will have value lists generated for them in Policy Modeling. When mapping Intelligent Advisor attributes to these list fields, they can only be mapped to Intelligent Advisor text attributes, and the list values are not editable by the interview designer.  Unsupported lists and menus (including all custom menus) can still be mapped for input and output, however, value lists arenÃ¢â‚¬â„¢t generated for them, so the designer has to ensure that the values submitted are valid by using their own value list or rule table to constrain the possible input values from the user, and to display items as helpful text rather than menu item IDs.  After making changes to supported lists in Service Cloud, ensure there is visibility for the updated items for the interface used, and refresh the data model in Policy Modeling to pull in changes to the associated value lists.   For interviews that are set up to create Service Cloud objects, all required fields must be output-mapped to Intelligent Advisor attributes. Fields that are required by Oracle B2C Service are indicated in the Output Mapping view in Policy Modeling by a red asterisk. Intelligent Advisor attributes can only be mapped to compatible Service Cloud fields. Generally, whether an object or field can be input-mapped, output-mapped or both is determined by the Service Cloud object model. Note: For more detailed information on the Service Cloud object model, see the section Object Model Introduction (opens in new window) in the Service Cloud documentation. There are some further limitations imposed by Intelligent Advisor:   Inferred entities can only be mapped for interviews that are set up to create Service Cloud objects, and none of the fields can be input-mapped.  Intelligent Advisor attributes with temporal values cannot be output-mapped.   There is no support for to-one relationships (for example, Organization of a Contact) While usage of Connect Web Services for SOAP is unlimited, there are practical limits which are enforced by the server. For more information, see API Limits(opens in new window).  See also:  Troubleshooting Service Cloud interviews Prerequisites for Intelligent Advisor with Oracle B2C Service
;;;;;
"""Fatal error; cannot connect to server"" at login screen";Answer ID 6164;"Why am I seeing a ""fatal error: cannot connect to server"" at the login screen of the Oracle RightNow console?";['Answer ID 1961'];  Oracle B2C Service, Login Window error; The BRAND_CONTENT_URL configuration setting allows you to customize the content pane of the login screen of the CX console. When this configuration is blank, the default behavior was to show a RightNow logo in this content pane which is hard coded into the product. Due to the de-commissioning of the rightnow.com domain, this hard coded URL is no longer valid. To resolve this issue, please edit the BRAND_CONTENT_URL configuration setting to contain a valid URL path Â to an Â image Â or page. Â Please see the Answer 1961: Customize the administration Login window Â for additional information on how to edit this configuration setting. Once the BRAND_CONTENT_URL configuration setting has been edited, a log out and log in may be required to allow the content pane to correctly display the updated contents.
;;;;;
Adding my own specific font to the list of available fonts for incidents;Answer ID 6165;Am I able to add my own specific font to the list of available fonts for incidents?;['Answer ID 1961'];   All Releases / Workspaces;  Â  It is not possible to add another font to the list of available fonts on the workspace editor, as there are no settings or options to set this list or to add new font files. It might be possible that our Oracle Consulting group can accomplish this Â with a customization that embeds the font file in the emails to ensure the end user had the font on their system when they opened the email, or to set a specific font as the default font in your emails via a bit of CSS in the Global Message Template. The CSS will override any font used by an agent in the 'Rich Text Incident Thread' editor.
;;;;;
